qubits,instance,iQAOA,ampQAOA,depQAOA,bfQAOA,bpfQAOA,pQAOA,pdQAOA,pfQAOA
3,0,0.9999999999999996,0.9583103733516637,0.9998988024486533,0.9727387533474854,0.9952025423965283,0.026653885695510082,0.9272741042445735,0
3,1,1.0,0.5951287357855256,0.9734017773802348,0.9840440557379618,0.993194022402122,0.16340797466962986,0.9478390136938449,0
3,2,0.9999999999999807,0.9766056973065084,0.922848468914562,0.985107985888927,0.9394704840601534,0.984771427686716,0.9784656720248847,0
3,3,0.9999999999999896,0.9935502682500227,0.995792831713261,0.9895860960390105,0.9349001345701174,-0.495586508560348,0.8607086545073411,0
3,4,0.9999999999999948,-0.1470693776870427,0.9841293164915023,0.9995595659687743,0.6460377719900661,0.7985078274757692,0.990123734807903,0
4,0,0.9999999999957409,0.9273176575958084,-0.6550455397796904,0.8940874446470322,0.8653201632081505,0.05559687308622907,0.9594373740629691,0
4,1,0.9999997902418913,0.8724811929854969,0.1028424981918862,0.8076814975254396,-0.08269487688207632,-0.36001647675640225,0.9746590953792365,0
4,2,0.9999999999989836,0.4324395592914307,0.03689001124950564,-0.14742921045764,0.9504672186879726,-0.28529185824482833,0.13077066888452693,0
4,3,0.9999994216223735,0.9055998380831434,0.08370010025181801,0.8999305135601746,0.9029179924001185,-0.04679079646332976,0.9461676493733673,0
4,4,0.9999999953761787,0.7167458364337078,0.2378840216337763,0.9028163260284183,0.06803037112131805,0.23415496051265894,0.9584558332764003,0
5,0,0.9999998694660394,0.5422219270195822,0.6534619279568914,0.7481245392921521,0.351149578958251,0.5556748411687661,0.9701683625138641,0
5,1,0.9999999984867993,0.8095727717136629,0.6636494029986206,-0.186115111483541,0.8419893656839739,-0.33571902913199186,0.8873366127579565,0
5,2,0.9999998972804047,0.927497809471187,0.8082678835956248,0.6012366075587279,-1.3885743120177088,0.05173326661085875,0.6463546082906554,0
5,3,0.9999991977187097,0.8712586382729529,0.887575531518169,0.7100654627404888,0.04979213610890958,-0.26235960294294514,0.17005496879205187,0
5,4,0.9999997131721109,0.9172019955895917,0.8855997518518484,0.14435288359206777,-0.11747178887781161,-0.5526336179118921,0.9474669202054824,0
6,0,0.999999961792199,0.25538833016263984,0.05119870238582102,0.03772087879317685,0.44195256110942105,-0.09853366969778439,0.30892024504798826,0
6,1,0.9999994666374201,0.14902729273041768,0.49245919649864334,0.12039627393918177,0.7061081644467778,0.2823489709126928,0.9001314793537792,0
6,2,0.9999993714986538,0.5990533490727864,0.6138758976249153,-0.2706565865202401,0.5494848533336684,-0.3341305156000864,0.5874918754920989,0
6,3,0.9999999999999206,0.21601336931373802,0.49315708625677446,-0.6505226481194493,0.2161010913200717,0.027539987286622557,0.36523204885827015,0
6,4,0.9999994192472336,0.6702991575314287,0.287073094732788,0.6274527047343018,-0.029561969512737134,-0.007891196571566577,0.7162842726410025,0
7,0,0.9999998874049786,0.7582049583342392,0.6140585327863556,0.4377025965338655,-0.08378774181882252,0.06311910088429878,-0.3272851624128902,0
7,1,0.9999992450129255,0.7240536520671258,0.20735170181477336,-0.15764948472505882,-0.7381827983197118,-0.002099864130030307,0.5626556910035659,0
7,2,0.9999999184496574,0.2551468761015591,0.5216365815179641,0.11312841592368844,-0.3687418579110054,-0.13746779311461763,0.9259151692292593,0
7,3,0.9999996024326384,-0.054315856186786214,0.45178817344703304,-0.05793017978012843,0.571399293746781,0.13392414248578613,0.10790775517254948,0
7,4,0.999999734401599,0.5082107995217646,0.5497933575708813,0.6825000828688883,-0.1884350151113671,-0.3093258512354168,0.9361990407551753,0
8,0,0.9999996647927398,0.10974321961204075,0.048638383719961376,0.2679397821894097,0.17317970523386708,0.020212759360514983,0.4294782268103791,0
8,1,0.9999998402080451,0.5339288833138192,0.030423357211885264,-0.012912720958820928,0.5385901940214388,-0.0997207192247683,0.7243473710241624,0
8,2,0.9999997019100064,0.6548196720776293,-0.015297976305625474,-0.6803724474345798,0.2837167619615752,0.07423786541566083,0.7294400825943993,0
8,3,0.9999999999997111,0.40145218316101744,-0.3770703459636386,0.3947059455609541,0.3087218905109771,0.14619407802173795,0.4426371110917725,0
8,4,0.9999996027393265,0.22768677938118628,0.19573886571130678,0.4346583207422001,-0.03195265681491706,-0.1809629603445482,0.5708878321162282,0
9,0,0.9999994058630912,0.30575515697048244,0.45563530772912525,0.32909657187196395,-0.014997985018795835,0.007987209715031033,0.5318799514924862,0
9,1,0.9999990881478253,0.09698081053771274,0.3548752194760951,0.00021639005445452802,0.14638971105318704,0.06343773896124287,0.5033133281756225,0
9,2,0.9999997171381361,-0.4840059079622802,-0.07071885396949172,0.2315311284888818,0.431661369951355,0.11024734665930844,0.6151510169340079,0
9,3,0.9999999578413543,0.34507456953796567,0.319683009473462,0.5187748686992049,0.35619435586266973,0.02756909724045585,0.303883265409061,0
9,4,0.9999998356180368,-0.1474174383568314,0.2787612208641584,0.08293918619779023,0.367303796119399,0.20163761232524857,0.20991806098361554,0
10,0,0.9999998275975408,0.5058918356687072,-0.23687631365571002,-0.2928271834376552,-0.22038082359282485,-0.030382073057761583,0.4918210883146313,0
10,1,0.9999999482825996,0.3080776132719,0.12511904147069317,0.2890399853321144,0.16241914035183794,-0.041439991764050166,0.2691953200186873,0
10,2,0.9999998955960759,0.5030281026944747,0.047319619272706885,-0.32135569805890374,0.07656612091271148,-0.06549968678810322,0.6145645688333978,0
10,3,0.999999921134027,0.008792256329327442,0.27326255319487036,0.22109317754422184,0.30884521987546815,-0.04219384350881328,0.21676104833406273,0
10,4,0.9999996600522307,0.13417103331714778,0.1502850868436088,-0.10748711520489711,-0.0893085407430118,0.03714710640805247,-0.03053734739681647,0
