"Quantum state","probability"
"0000	","0.01736523024737835"
"0001	","0.015909701585769653"
"0010	","0.08126334100961685"
"0011	","0.003666375298053026"
"0100	","0.25588977336883545"
"0101	","0.0003749775933101773"
"0110	","0.13194172084331512"
"0111	","0.0025277049280703068"
"1000	","0.0307562705129385"
"1001	","0.00013022715575061738"
"1010	","0.047150805592536926"
"1011	","0.00016128167044371367"
"1100	","0.24260768294334412"
"1101	","0.002188447630032897"
"1110	","0.16651661694049835"
"1111	","0.0015496743144467473"